FileName|USN|Timestamp|Reason|MFTReference|MFTReferenceSeqNo|MFTParentReference|ParentReferenceSeqNo|FileAttributes|MajorVersion|MinorVersion|SourceInfo|SecurityId
dosvc.20241024_053542_838.etl|52953664|2024-10-24 07:59:17.6149828|DATA_EXTEND|33356|6|100029|1|not_content_indexed|2|0|0x00000000|0
MSIMGSIZ.DAT|52953784|2024-10-24 07:59:19.4118567|DATA_OVERWRITE+CLOSE|33207|3|106843|2|archive+not_content_indexed|2|0|0x00000000|0
PfPre_77073baa.mkd|52953872|2024-10-24 07:59:19.4118567|DATA_OVERWRITE+CLOSE|106071|2|65094|2|archive+not_content_indexed|2|0|0x00000000|0
$MFT|52953968|2024-10-24 07:59:20.4116434|FILE_CREATE|123791|1|123081|1|archive|2|0|0x00000000|0
$MFT|52954040|2024-10-24 07:59:20.4116434|FILE_CREATE+DATA_EXTEND|123791|1|123081|1|archive|2|0|0x00000000|0
Amcache.hve.LOG1|52952056|2024-10-24 07:57:51.8652950|BASIC_INFO_CHANGE|123789|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG1|52952152|2024-10-24 07:57:51.8652950|BASIC_INFO_CHANGE+CLOSE|123789|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG1|52952248|2024-10-24 07:57:51.8652950|BASIC_INFO_CHANGE|123789|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG1|52952344|2024-10-24 07:57:51.8652950|BASIC_INFO_CHANGE+CLOSE|123789|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG1|52952440|2024-10-24 07:57:51.8652950|BASIC_INFO_CHANGE|123789|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG1|52952536|2024-10-24 07:57:51.8652950|BASIC_INFO_CHANGE+CLOSE|123789|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG2|52952632|2024-10-24 07:57:51.8652950|FILE_CREATE|123790|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG2|52952728|2024-10-24 07:57:51.8652950|FILE_CREATE+DATA_EXTEND|123790|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG2|52952824|2024-10-24 07:57:51.8652950|FILE_CREATE+DATA_EXTEND+CLOSE|123790|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG2|52952920|2024-10-24 07:57:51.8808662|BASIC_INFO_CHANGE|123790|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG2|52953088|2024-10-24 07:57:51.8808662|BASIC_INFO_CHANGE+CLOSE|123790|1|123787|1|archive|2|0|0x00000000|0
Amcache.hve.LOG2|52953184|2024-10-24 07:57:51.8808662|BASIC_INFO_CHANGE|123790|1|123787|1|archive|2|0|0x00000000|0
